stars,comment
4.0 out of 5 stars,"







  
  
    This was one of the things I bought my son for his 10th birthday. He was pretty excited to get it and said there were some good cards in it. I know next to nothing about the Pokemon universe/Pokemon cards. He liked the selection offered so I'll probably buy him more of these at some point.
  
"
1.0 out of 5 stars,"







  
  
    Disappointed. My husband is a collector and I wanted to surprise him with some packs.1. Didn’t receive what I was expecting. Pics show steam siege and others but received more recent booster packs.2. Packs are obviously resealed. The packaging is extra crimpy, no hits, and the cards werent even in the correct packaging. I got darkness ablaze cards in an evolving skies pack.Don’t waste your money on scammers.
  
"
4.0 out of 5 stars,"







  
  
    I bought 4 of these 3 packs a day or two after Christmas.  I received 4 wrapped chilling reign sandwiches with battle styles buns lol (2 battle styles and 1 chilling reign pack per 3).  I wouldn't say it was very random but at least they weren't all the same. Shipping arrived fairly quickly and I'm generally happy with this purchase.As with all cards, packs are a gamble of sorts and you never know what you're going to get.  These packs did not seem resealed to me, the back flap was not fully sealed to the top of the pack on some but I've also experienced boosters from the store like that as well so I did not dwell on it and opened to see what was inside.Overall an average pull rate in my opinion, I pulled 6 & 6 green and green/white code cards.  Actual card pulls revealed a secret rare gold Octillery and a Single Strike Urshifu VMAX, as well as a few holo rares.Before I purchased this product I checked the reviews for the SELLER.  Nearly 100% satisfaction in the last year so I decided to risk purchasing despite some poor reviews on the listing itself.  If you are thinking about buying, make an educated decision so you aren't disappointed with a bad one.  Hope this helps!
  
"
1.0 out of 5 stars,"







  
  
    My kid worked around the house to make enough to buy these booster packets. When I got them I looked them over to make sure they were untampered with, since it happens a lot. These were most definitely resealed. The pictures may not have the details to see what you can see in person but it is very noticeable. The ends of the packs were re-crimped and the ends didn’t match up/uneven. When opened, the glued sides stuck to each other and made it more obvious they were resealed.
  
"
4.0 out of 5 stars,"







  
  
    I bought 10 of these 3 booster pack sets  based on the pictures assuming that I would get a bunch of different boosters but I ended up getting 20 Astral Radiance and 10 Chilling Reign.Technically the buyer is indeed providing exactly what the listing says but I wish they wouldn’t use pics of old boosters because it gives a false impression that it’s possible to get non Sw/Sh boosters when in reality it’s not.Now that I am aware of that I can just go on EBay and pay $2.50 per booster and save $5.Bummer. This could have been really cool if it was what I thought it was based on the pictures.
  
"
5.0 out of 5 stars,"







  
  
    The best experience I have had getting pokemon cards. 10 cards per pack right to my door. Sealed beautifully in ready to go packages that I can use later on. 30 cards is perfect for a small video. 90 cards (3 of these purchases) for two guests is great for a long video or a stream. 3 different card generations helps to keep things interesting and ensure we never run out of Pokemon topics to talk about between the generations.  I will for sure be looking for this again down the road.
  
"
1.0 out of 5 stars,
1.0 out of 5 stars,"







  
  
    I am so disappointed in these cards. They did NOT come in three separate packages as pictured. They arrived stacked all together in an open plastic bag. Anyone could have easily gone through to pick out the good cards and sell the rest like this. They were supposed to be a valentine gift for my seven year old and I’m embarrassed to hand him a stack of cards in an opened plastic bag. BUYER BEWARE!!
  
"
3.0 out of 5 stars,"







  
  
    It made my Grandsons Day (also got him a container to keep the cards in) ""Now I can show all my friends"" it made me so happy seeing the look on his face , it also makes a great reward system he loves having his own cards and will work for them!!  Oh he's 7 years old.  Good Luck
  
"
3.0 out of 5 stars,"







  
  
    It’s a hit or miss with Pokémon cards but painful when kids look at the pictures in description/advertisement of this seller and think they’ll get at least few good cards. We only got 1 decent card and many energy type cards. Felt like a rip off.It’s surely giftable, but I wouldn’t gift it to a close friend or family as I will never stop hearing them complain about the lack of good cards.Great for return gifts/part favors as it comes in 3 smaller bags.
  
"
1.0 out of 5 stars,"







  
  
    I bought these for kicks because of the good deal and even considered opening these on camera but I’m glad I didn’t. I got one XY Evolutions, one Unbroken Bonds and one Unified Minds. I can get the latter two at the store. These packs were obviously weighed because the only “nice” ones I got were reverse holos and the rare ones were meh. Of course, you can’t control that, as they’re all random but what can be controlled is the packs being weighed.This is a good deal if you’re buying for children who aren’t serious collectors and just play with them. If you’re buying because you like to collect and enjoy the thrill of a good pull, you’ll get more excitement going to a store and spending a few more dollars for packs that haven’t been weighed so you have a fair chance of pulling holo rares/ultra rares.
  
"
5.0 out of 5 stars,"







  
  
    My grandson loves Pokémon. This company had them securely wrapped and packages protected. Greatly appreciated the extra effort they went to making sure I got my product in great condition.
  
"
5.0 out of 5 stars,"







  
  
    A buddy of mine was dropping two thousand dollars on vintage packs, I didn't have the nostalgic draw to the old cards, but love to open packs. I will definitely buy these as often as I can.
  
"
1.0 out of 5 stars,"







  
  
    Packs that were supposed to be random seemed to be handpicked as most of them were from the same set and the others from an unpopular set. Packs were shoved into a tight plastic sleeve 4 and 5 at a time. This caused damage to all the cards, including the single noteworthy card. 10/10 disappointed.
  
"
1.0 out of 5 stars,"







  
  
    I was suspicious looking at my packs as from the outside they looked as if they were coming undone at the ends, then my final pack sealed the deal. I got an EvolutionS pack and the code card was BACKWARDS. Whoever opened my pack must have had to replace the card, taken out the rare that was in it, and given me a resealed pack and accidentally put in the code card backwards.Very disappointing... I have yet to open an EvolutionS pack with a rare inside from a 3rd party vendor.
  
"
1.0 out of 5 stars,"







  
  
    Seriously who would take the time and effirt to open a pack, take the good cards out and then reseal them and send them back. Lames af...My poor kid, we couldn't rip open the pack like we always do, impossible. Everyone that was hard to open had no good cards. 12 packs and one good card.
  
"
5.0 out of 5 stars,"







  
  
    I lost hearing in my left ear when my son opened one of the packs and pulled a something-something V holo (I couldn't hear the rest).  He jumped up and down, yelled, hugged me and the card made his day.  He can't wait to open the other 2 packs.  Perfect for a beginner collector or seasoned collector. Seal wasn't tampered with (wasn't easy to open the foil pack).
  
"
1.0 out of 5 stars,"







  
  
    Misleading only 1 pack of cards overpriced
  
"
5.0 out of 5 stars,"







  
  
    My son really enjoyed these packs he didn’t get any duplicates and he said they were overall really good selection
  
"
5.0 out of 5 stars,"







  
  
    Great purchase. Came quickly. All packs were sealed. Would purchase again.
  
"
5.0 out of 5 stars,"







  
  
    My son loved getting these cards. He had just gotten into collecting these cards and was excited with all the new one in these packs. No duplicates in our packs!
  
"
1.0 out of 5 stars,"







  
  
    Not as advertised, only new packs
  
"
3.0 out of 5 stars,"







  
  
    Well I liked it but I thought I was gonna get an ORIGNAL booster pack. It literally has a picture of the original booster pack when I was ordering it. But no, I got a sword and shield booster pack. But I mean I got good cards and all but I thought It was gonna be an orignal booster packs sooo
  
"
1.0 out of 5 stars,"







  
  
    You will get three packs but it is not the three pictured. Not what it seems to be
  
"
3.0 out of 5 stars,"







  
  
    I ordered these for my 10 yr old he loves the cards got some great cards only thing is we can not speak or read French and after ordering and it stated eligible for return now it says not eligible and I received them today which btw is actually early
  
"
2.0 out of 5 stars,"







  
  
    Im building my collection of older pokemon cards and was given new ones....its not what I ordered and you can tell they tried but didn't care. How can you get one right out of three when they are supposed to be the same but instead all different.
  
"
1.0 out of 5 stars,"







  
  
    When I got these I noticed there was one pack that weighed less than the rest of them which was off putting and when I opened the packs I noticed that one of the cards had a mark from them resealing the pack incorrectly. Didn’t get a single even decent pull and they only sell 3 different packs, Fusion strike, chilling reign, and battle styles there is no variety at all. Overall blatant scam I don’t plan on buying here again. The second picture is the only “good pulls” I got, the first is the reseal marks.
  
"
4.0 out of 5 stars,"







  
  
    Box came beat to heck, but the cards were fine.
  
"
1.0 out of 5 stars,"







  
  
    Bought these for my son who is a collector. His review “Totally obvious  scam and all packs are resealed”.
  
"
1.0 out of 5 stars,"







  
  
    This was an absolute let down. They were 3 loose packs repackaged into they're own style blister pack with a random card that was ironically worth more than the cards in the packs and that one card is worth about 15 cents so that alone tells you how much of a scam this is. These packs were obviously weighed and repackaged. Maybe a good gift for a kid that has no clue about the cards but for a collector, this was a disappointment and wasteful purchase.
  
"
5.0 out of 5 stars,"







  
  
    These were Christmas presents to our 8 year old Grandson which made him very excited & HappyThank u for making him thrilled with these cardsHis Gramie
  
"
1.0 out of 5 stars,"







  
  
    Waste of money, weighted packs they keep the best ones. They Literally didn’t even try to put a different back on my package all fusion strike. Am sure if someone one wanted to buy just fusion strike am they would do that considering how cheap they are at the moment. Don’t spend your money on this. Opened the 3 packages literally all uncommon with one rare. First and last time. Crappy product.
  
"
2.0 out of 5 stars,"







  
  
    I thought when I ordered it I was getting the packs that showed on the photo, but instead I got 3 different packs. I was looking for the XY packs not Sword and Shield packs.
  
"
1.0 out of 5 stars,"







  
  
    The pictures are for different packs. I am willing to pay for what I get, and it's just not what was on the pictures.  Chilling reign, Astral radiance, and and battle styles are not the ones I wanted. I can pick these up anywhere. Luckily the kid is OK with waiting to open a pack other than sword and shield.
  
"
4.0 out of 5 stars,"







  
  
    My son chose these and was happy enough with the content. He values cards based on how much he likes the artwork on them so I can’t speak to actual value. These are expensive (in my opinion) compared to what I’ve found on Etsy/eBay/etc)
  
"
4.0 out of 5 stars,"







  
  
    Thses are niether good nor bad. I couldn't find any tampering or resealing of the boosters. I do believe they were weighed packs though. All 3 came in very light on my scale, but that is a chance you take with booster packs as well.
  
"
2.0 out of 5 stars,"







  
  
    The picture is definitely misleading. You'll probably just get packs that you can buy anywhere
  
"
1.0 out of 5 stars,"


















    
        

        
        

        
            
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
        
    
    








  
  
     One of my cards had some real bad scratches. It makes me think these packs are resealed. Save your money and buy from a legit store.
  
"
4.0 out of 5 stars,"







  
  
    The cards were ok, given as a gift, but it said they came in a blister pack which would have made a better gift presentation than the plastic baggie the packs were sent in.  They were a little expensive in my opinion. The good point is my nephew liked them.
  
"
1.0 out of 5 stars,"







  
  
    Not worthy packs are mostly from 2021 that you can find selling at a price of around 6.00 each. Regular price is like 4.50 if you buy it at retail in barnes and noble. Don't buy not worth the extra 3 dollars added
  
"
1.0 out of 5 stars,"







  
  
    Package came opened. Not at all what this looks like in the picture. The package is clear hard cellophane and was ripped open with cards falling all over. How could I possibly give this as a gift. Very disappointed. Do not purchase.
  
"
5.0 out of 5 stars,"







  
  
    It’s fun when you pull something rare tho
  
"
1.0 out of 5 stars,"







  
  
    Do not buy, completely fake rip-offs. Avoid at all costs.
  
"
4.0 out of 5 stars,"







  
  
    Not what was listed, however they’re Pokémon cards of the newer prints. Sealed
  
"
1.0 out of 5 stars,"







  
  
    I only received 2 packs!!!! Plus they were really bad cards. 1 pack didn't even have a rare which tells me the pack was opened and resealed as every pack has a rare card. Do not buy.
  
"
1.0 out of 5 stars,"







  
  
    Cards are real but they are absolutely resealed packs. The top seal just popped open and the crimp marks are different than the bottom.
  
"
5.0 out of 5 stars,"







  
  
    Yhey are pokemon cards. Of course they are just pictures on card stock, so they cost way too much, but that is what you get when you set pokemon cards. Makes no sense to me, but kids love it for some unknown reason to me...
  
"
1.0 out of 5 stars,"







  
  
    These cards are not even real Pokémon cards. What an absolute rip off ‼️‼️‼️‼️ DO NOT BUY THESE ‼️‼️‼️The cards are brutally fake and came resealed and upside down, this shouldn’t even be legal…
  
"
1.0 out of 5 stars,"







  
  
    The packs we were sent didn’t match the picture at all, we had ordered these specifically for the ones pictured. That’s too bad they did this. Just know you won’t get the packs as pictured
  
"
5.0 out of 5 stars,"







  
  
    Great gift!!! It's hard to find Pokémon cards with their increased popularity so I was really excited to find these as my son loves Pokemon.  Came quickly and just like the product description!
  
"
1.0 out of 5 stars,"







  
  
    My son was very disappointed to find only 5 basic cards in a pack. I don't recommend this item.
  
"
1.0 out of 5 stars,"







  
  
    Purchased 3 and received 9 chilling reign. Huge bummer
  
"
1.0 out of 5 stars,"







  
  
    You already know what your going to get, fusion strike, battle styles and chilling reign. Just put it in the pic instead of showing older packs, you know what your are doing when you advertise this way.
  
"
5.0 out of 5 stars,"







  
  
    I don't know about easy to learn. At least I don't understand it. My son I guess is catching on. However it did come with a variety of decent cards to start a nice collection.
  
"
1.0 out of 5 stars,"







  
  
    Out of 6 packs not one good card! Resealed packs! Should’ve known.
  
"
1.0 out of 5 stars,"







  
  
    They came damaged in the mail and They we're not the ones in photo.Not as described.update your photos as you go!!!!
  
"
5.0 out of 5 stars,"







  
  
    The price was reasonable, about the same as in the store. But it was convenient for me to send while i was traveling so that was the best part.
  
"
1.0 out of 5 stars,"







  
  
    Received booster packed that were not the same as shown in the picture of the product
  
"
1.0 out of 5 stars,"







  
  
    Misleading and deceptive listing. The card packs we got were sword, battle styles and fusion. A disappointed child who saved his money. Should have read other reviews first.
  
"
5.0 out of 5 stars,"







  
  
    My son and daughter loved the 3 booster packs - I don’t know much about Pokémon but they were very happy with the selection.
  
"
4.0 out of 5 stars,"







  
  
    My grandson loved the cards....just as described on the site...
  
"
1.0 out of 5 stars,"







  
  
    The description is vague to allow them to show older discontinued packs and switch with current releases.  For the price, you can order direct from Pokémon and save money.
  
"
1.0 out of 5 stars,"







  
  
    All packs got were cheap packs bought 4 sets so not bad luck just a gimmick by seller over paid for what I got received zero packs in front pics
  
"
1.0 out of 5 stars,"







  
  
    I got chilling, fusion, and battle styles packs. The picture is misleading please change it.
  
"
3.0 out of 5 stars,"







  
  
    Over priced!
  
"
1.0 out of 5 stars,"







  
  
    The picture isn’t accurate and is misleading. I received fusion strike packs and would not have ordered if I knew
  
"
1.0 out of 5 stars,"







  
  
    The cards advertised and ordered are not what you will receive! Need to take down this item. Spent money on booster packs I wasn’t looking for.
  
"
4.0 out of 5 stars,"







  
  
    You’ll get three packs, which is what they advertise. You’d likely do better value wise buying them from any local card shop. Chilling, Fusion and Battlestyles 😬
  
"
1.0 out of 5 stars,"







  
  
    I ordered 2 of these ""3pack"" cards and only got 2! Can't return and can't get ahold of anyone to get a refund or replacement on the other 4 packs I should have gotten!
  
"
5.0 out of 5 stars,"







  
  
    Good for gift, value for the items was great. Checked most of them not repeat it was a great buy. Got some holo cards and one rare holo I think lol.  It was fast delivery, so happy 😊.
  
"
3.0 out of 5 stars,"







  
  
    All common cards. After reading reviews on here and realizing sellers can weigh the packs to see which have special cards, I wish I had just gone to the store. Price is not right for 3 packs, anyways. And all three packs were prewrapped and not random (all the same series). Waste of money
  
"
1.0 out of 5 stars,"







  
  
    Pics display older sets of packs I’ve been trying to get and I was sent basic astral radiance series.
  
"
1.0 out of 5 stars,"







  
  
    This seller is promoting variety in the booster packs so I bought five orders and they were all Sun and Moon with a couple of Sword and Shield. The picture also promotes XY series packages and obviously there were none at all. I know rares are random, but to not have a single rare out of fifteen packs is extremely suspicious. I would avoid this seller in the future.
  
"
4.0 out of 5 stars,"







  
  
    I don't have kids who collect these, so I won't speak to the value. However, I gave these as gifts and they were such a hit!
  
"
4.0 out of 5 stars,"







  
  
    I think I got an ultra rare, even if it wasn’t what I intended they were still really good cards. The resealed stuff is from 2019 so I assume that the carrier changed or something
  
"
1.0 out of 5 stars,"







  
  
    I got a Danseuse trainer card from fusion strike in a vivid voltage pack. Now I cant get money back after being scammed. No not buy these packs!!
  
"
5.0 out of 5 stars,"







  
  
    I got three packs all of them were different cards got to platinum or shiny cards with the deck so was a very good buy
  
"
1.0 out of 5 stars,"







  
  
    Says they are Exactly like the picture and we got chilling rain where you can purchase them in a store so not buy over priced for no reason! Display and picture is fraud!
  
"
1.0 out of 5 stars,"







  
  
    The image I provided is a comparison between the pack purchased here and one from target. The pack from here is shorter on the ends and is clearly resealed. Buyer beware
  
"
1.0 out of 5 stars,"







  
  
    Really hard to find an honest deal on Pokemon cards now
  
"
1.0 out of 5 stars,"







  
  
    Should have watched you tube videos and read these reviews.  Several red flags.  Packs didn’t come in cardboard sleeve and the center tab on each pack was separated at both the top and bottom.  That should not happen on new packs.  Definitely seam tampered with and resealed .
  
"
1.0 out of 5 stars,"







  
  
    Worst packs ever it shows xy packs on the description. DONT BUY DONT WASTE YOUR MONEY
  
"
1.0 out of 5 stars,"







  
  
    Was skeptical at first and tried it for myself only bought the first 3 pack and one was resealed. Bought 6 packed and at least one from every 3 packed had a resealed. Had decent ones on the one they didn't open. So I bought another 4 packed this time and pretty much all was resealed never buying again!
  
"
5.0 out of 5 stars,"







  
  
    Gave this to a friend’s son for his sixth birthday. Apparently my pack had his new most favorite card ever in it. Great gift!
  
"
5.0 out of 5 stars,"







  
  
    Ordered for one of the grandkids. Want to keep them excited about collectibles. I collected baseball cards.
  
"
4.0 out of 5 stars,"







  
  
    Other than taking almost a month to arrive (and not making it by Christmas), it was as described.
  
"
1.0 out of 5 stars,"







  
  
    Obviously resleeving. If it isn't illegal it should be, glad I only bought a few. Do not buy these are not legit packs 6 out of nine were resealed after someone already opened it.l
  
"
4.0 out of 5 stars,"







  
  
    Got three ordinary packs like I could've bought in s supermarket. Mostly okay cards, a couple pretty good ones. Only got one duplicate but one of them is holographic. Pretty good.
  
"
1.0 out of 5 stars,"







  
  
    My kids were disappointed as none of these were high value. They won't add them to their collection.
  
"
3.0 out of 5 stars,"







  
  
    Bought for my nephew. He was so excited to get these packs. In the bunch there was only one great card (in his opinion). I’m not a Pokémon player so I’m not sure if this is a good deal or not. Just wanted to be honest in my review.
  
"
2.0 out of 5 stars,"







  
  
    I ordered 4 sets of RANDOM blister packs. Each set had the same packs in. Do not buy.
  
"
5.0 out of 5 stars,"







  
  
    My 12 year old couldn't wait to get these in the mail, and he wasn't disappointed.  He and his cousins opened the packs together and were ewwing and awing over the cards they got.
  
"
3.0 out of 5 stars,"







  
  
    Ordered 3 of these so I got 9 packs total, I’m new to this so I can’t really tell if they have been resealed or not, but they do not come sleeved which right away seemed like a red flag, out of the 9 packs I did get 2 good pulls
  
"
5.0 out of 5 stars,"







  
  
    I know NOTHING about Pokemon...they were a gift for an 11 year old male.
  
"
2.0 out of 5 stars,"







  
  
    Grandson picked this out online. The cards looked new but he said that there weren’t any “good cards”. They have been left in a stack on the table since then. Conclusion: if the recipient is new to Pokémon, these would be ok, otherwise not so much.
  
"
1.0 out of 5 stars,"







  
  
    It says three booster packs, but only one came. The packaging looks tampered with and the cards are all terrible. Waste of money, seems like a scam, and borderline, if not outright, illegal. Amazon should drop this company like a bad habit.
  
"
4.0 out of 5 stars,"







  
  
    Too much money for a handful of cards… I don’t see the value. Just my opinion
  
"
5.0 out of 5 stars,"







  
  
    My seven year old grandson was ecstatic with this set of Pokemon cards.
  
"
2.0 out of 5 stars,"







  
  
    I bought 4 sets of these and only got fusion strike packs...
  
"
1.0 out of 5 stars,"







  
  
    this is the worst thing ever my guy show breakpoint packs and gives fricken fusion strike crap don't ever buy this ever trust save your money.
  
"
5.0 out of 5 stars,"







  
  
    Keeps the kids busy for quite some time
  
"
5.0 out of 5 stars,"







  
  
    I honestly dont know anything about pokemon cards but my son had been wanting this set for awhile and I was finally able to get them for him. He collects pokemon cards. He was so happy when he saw a package in the mail and even happier when he found out that the package was for him AND then he was the happiest that they were pokemon cards!!
  
"
1.0 out of 5 stars,"







  
  
    Seeing the 3 packs in the image I was thinking this was an awesome price for the xy series and I immediately bought. I get them and it’s three packs from sword and shield. If I would have known I was buying these I would just go to the local GameStop and spend 12 bucks instead. Thanks.
  
"
5.0 out of 5 stars,"







  
  
    Makes my grandson smile!
  
"
2.0 out of 5 stars,"







  
  
    I ordered six boosters in total. At least 4 were resealed and anything good was removed.
  
"
3.0 out of 5 stars,"







  
  
    Nephew was happy but I had buy more stuff.
  
"
3.0 out of 5 stars,"







  
  
    The packs I received were not the packs that I thought I was purchasing. Each 3-pack contained 2 Battlestyles and 1 Vivid Voltage. Not upset that I got essentially a booster box at a discount, but disappointed that the packs I did get were not what was advertised. I looked over the details again and nothing mentioned anything about getting what wasn’t pictured.
  
"
1.0 out of 5 stars,"







  
  
    DO NOT BUY!!!! My seven year old was excited for these. I wish I had read the horrid reviews. He had saved up his allowance for this. However, they were different packs than what were shown, which I believe is completely misleading and shameful. The cards were from a different series. Shame on you for not selling what you advertised.
  
"
1.0 out of 5 stars,"







  
  
    These packs are not random and they are not of the xy series or sun and moon. I ordered multiple packs of this 3pk and got nothing but the same boosters in each set. On top of that none of the packs had good cards in them so clearly means the company's who sell packs weigh the packs before packing them
  
"
5.0 out of 5 stars,"







  
  
    Shipped fast and had a nice selection on cards.
  
"
5.0 out of 5 stars,"







  
  
    My grandson was thrilled to get this.
  
"
5.0 out of 5 stars,"







  
  
    Christmas present and he loved it as he love’s Pokémon!
  
"
1.0 out of 5 stars,"







  
  
    It is supposed to be a 3-pack of cards...I ordered the 3-pack 2 times and only got 2 packs total...it should have been 6 packs total...ridiculous! DO NOT ORDER...
  
"
1.0 out of 5 stars,"







  
  
    It’s absolutely terrible I told you the three packs that you’re going to get and I didn’t even get those three packs it’s three different kinds
  
"
1.0 out of 5 stars,"







  
  
    This is a total rip off and though the images are of older packs you instead get ones that are still being printed….
  
"
1.0 out of 5 stars,"







  
  
    As some have written, my 7-year-old purchased these with his money. He was so disappointed after anxiously watching the clock since ordered. He even woke up this morning still sad and not understanding how he paid for something and didn’t get what was advertised. In his words, “This is a scam!”
  
"
5.0 out of 5 stars,"







  
  
    My nephew was so happy with them. Best gift he got for his birthday.
  
"
1.0 out of 5 stars,"







  
  
    loose packs… no good cards… “2014” packs with 2021 cards in them.. scam buyer beware
  
"
1.0 out of 5 stars,"







  
  
    I was mislead with the picture then didn’t have the option of returning the packs
  
"
1.0 out of 5 stars,"







  
  
    Order placed by mistake and cant return it
  
"
1.0 out of 5 stars,"







  
  
    The reason I gave 1 star is because they were not the blister packs I thought I was ordering based off of product image. I had ordered this specific set because I thought I’d get some of the older card models but isntead only got the new sword and shield, false advertisement with the photos!!
  
"
1.0 out of 5 stars,"







  
  
    The cheapest sets that you can buy.  The main image is completely irrelevant.  Save your money.
  
"
5.0 out of 5 stars,"







  
  
    A wonderful gift for a child
  
"
1.0 out of 5 stars,"







  
  
    Packs came in today, its obvious they where opened and resealed. Pack out side length is almost a half inch shorter then other packs, cards easily slide around in pack. Also stick residue near creased area's.
  
"
1.0 out of 5 stars,"







  
  
    Don't scam us and put steam siege and all these other packs we can't get ahold of and give us rebel clash and new stuff you mislead customers and lie to them with arts of series of cards you're not sending out don't buy this it's a scam
  
"
5.0 out of 5 stars,"







  
  
    Item exactly as described. Three unopened booster packs of Pokemon cards at a reasonable price.
  
"
5.0 out of 5 stars,"







  
  
    The product was made of canvas style material and print screening and very colorful
  
"
2.0 out of 5 stars,"







  
  
    WON'T GET CARDS SHOWN, ALSO RESEALED PACKS!!! Stilled pulled a Full Art MGardevoir EX but not worth buy since every card we resealed. When I bought the packs every single one of the corners were very odviously resealed as it wasn't done very well, all corners you could see inside and see cards so its a reseal pack, Scam seller don't buy!
  
"
1.0 out of 5 stars,"







  
  
    Not what we were expecting at all! My son was very disappointed.
  
"
5.0 out of 5 stars,"







  
  
    Grandson loved it!
  
"
5.0 out of 5 stars,"







  
  
    In every pack we got great cards no doubles and the kids loved that they got holos
  
"
5.0 out of 5 stars,"







  
  
    These were great packs! They weren’t older ones but I bought 6 packs total and 4/6 had great cards in them! I got a rainbow full art trainer from one!
  
"
5.0 out of 5 stars,"







  
  
    Grandson loved these Pokémon cards. I was so happy to get them.  Sold out everywhere else.  Thank you Amazon
  
"
5.0 out of 5 stars,"







  
  
    Of course we older folks think they cost too much but my grandson loves them so he was excited to get them for his birthday.
  
"
5.0 out of 5 stars,"







  
  
    These were sealed and came quickly. We were worried ordering online but my son was very pleased. Will be ordering again.
  
"
5.0 out of 5 stars,"







  
  
    Great product & price
  
"
3.0 out of 5 stars,"







  
  
    I got 3 booster packs, 2 steam and 1 sun/moon. I wasn't very impressed with the pulls, but I got some okay reverse holofoils and a couple of non-holo rares. Since these cards are still young, and most likely have yet to be limited print, there's not much value in them for the time being. Overall, I'm not at all upset with the results as I thought the 10 bucks was worth it.
  
"
5.0 out of 5 stars,"







  
  
    My son likes Pokémon and has been wanting new cards for a while now. He enjoys collecting Pokémon. Very good gift for my son.
  
"
5.0 out of 5 stars,"







  
  
    Great cards and very giftable
  
"
5.0 out of 5 stars,"







  
  
    Not sure what I should say, but my 6 year old boy loved it!
  
"
1.0 out of 5 stars,"







  
  
    Of course this was a rip off. 3 resealed packs and 30 hand picked. Do not buy these
  
"
5.0 out of 5 stars,"







  
  
    I got what I paid for, all 3 packs came wrapped in a little tight plastic baggie.All the cards I got were 100% real. I got lucky with a few rare ones.The people on here saying it's fake are Bs'ing , or are just mad they have the worst of luck lol. .overall great product and price. I mean the ratings speak for themselves. 🤷🏻‍♂️🤣
  
"
5.0 out of 5 stars,"







  
  
    Great surprise packages for my nephew to add to his collection.
  
"
5.0 out of 5 stars,"







  
  
    This was a gift
  
"
1.0 out of 5 stars,"







  
  
    This is not recommended because I got different pack series and not any good cards a waste of money overall trash
  
"
1.0 out of 5 stars,"







  
  
    Do NOT state something is AUTHENTIC when it is not. Should have researched further and seen there is a no return policy. How convenient. These went in the garbage. What a waste of money and the duplicity of the listing is the worst part. If I could have given zero stars i would have.....
  
"
1.0 out of 5 stars,"







  
  
    I never write negative reviews but my daughter spent her own money on what she thought were cards that you can’t find in stores…we received them today and to our surprise…they are not ones that are pictured. You can buy these at any store. My poor little girl was so disappointed!
  
"
5.0 out of 5 stars,"







  
  
    My son liked them
  
"
5.0 out of 5 stars,"







  
  
    Some Pokémon cards on Amazon are fraudulent. These are the real thing.
  
"
1.0 out of 5 stars,"







  
  
    all these cards are the biggest waste of money.  Your kids might play with them for a day or two but most likely there just going to end up scattered all around your house making a big mess
  
"
1.0 out of 5 stars,"







  
  
    Every pack was a dud and we purchase 6 packs. This can happen but there were several signs these pack were resealed. In the picture you will see a different seal from original close to the middle. The was also signs within the pack where the ""GOOD"" cards should be. Buy from someone else.
  
"
5.0 out of 5 stars,"







  
  
    I will be buying more
  
"
5.0 out of 5 stars,"







  
  
    It came on time, giving them to my grandson for a surprise. (Nothing to dislike)
  
"
2.0 out of 5 stars,"







  
  
    Bought the 3 pack and only received 2 also took 2 weeks to get here. I wouldn’t recommend this seller.
  
"
5.0 out of 5 stars,"







  
  
    With all the craze, counterfeit cards were a concern. These are the real deal for a good value.
  
"
2.0 out of 5 stars,"







  
  
    The picture showed two break packs and that’s why we ordered.  None of the three packs were break cards and I have one very disappointed 7 year old!
  
"
1.0 out of 5 stars,"







  
  
    Obvious resealed packs.
  
"
5.0 out of 5 stars,"







  
  
    Grandson loved it.
  
"
5.0 out of 5 stars,"







  
  
    Nice. TookA long time toShop
  
"
1.0 out of 5 stars,"







  
  
    FROM PURCHASE SITE LOOKED AS IF THERE WERE 3 DIFFERENT PACKS OF 10 INSIDE ORDER.I RECEIVED 3 PACKS OF 10 ALL SWORD AND SHIELD FUSION STRIKE CARDSFELT RIPPED OFFDID NOT OPEN ANY
  
"
2.0 out of 5 stars,"







  
  
    The picture they use is misleading. None of the packs I got are XY. You’d be better off picking booster packs up from the store and it would be cheaper.
  
"
2.0 out of 5 stars,"







  
  
    Na
  
"
1.0 out of 5 stars,"







  
  
    Second time attempting to leave a review. This is not what was advertised. Not a good deal.
  
"
1.0 out of 5 stars,"







  
  
    The packages arrived today and from the outside all 3 seem different in size and possibly tampered with or have been opened. This is a Christmas gift, so we'll see what happens. They are non returnable.
  
"
4.0 out of 5 stars,"







  
  
    I used it for a Christmas stocking stuffer
  
"
1.0 out of 5 stars,"







  
  
    Completely different series than advertised.
  
"
5.0 out of 5 stars,"







  
  
    Happy at Christmas
  
"
1.0 out of 5 stars,"







  
  
    The packs were tampered with don’t buy
  
"
5.0 out of 5 stars,"







  
  
    Just as described. Authentic and packaged as expected. Out of everything my 9 year old got for (early) Christmas, he was the most excited by a rainbow something he got in one of the packs. Thanks for the mom win!
  
"
1.0 out of 5 stars,"







  
  
    Packets are open not worth buying go and buy somewhere else
  
"
1.0 out of 5 stars,"


















    
        

        
        
            
        

        
            
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
        
    
    








  
  
     Did not match the picture in the description
  
"
4.0 out of 5 stars,"







  
  
    Xmas gift
  
"
1.0 out of 5 stars,"







  
  
    Resealed!!
  
"
